rank,account_name,priority,confidence,why,flags,fit,intent,neglect,arr_num,account_tier,industry,region,owner,source_names,source_arr
11,American Society for the Prevention of Cruelty to Animals,0.39950189957669147,High,"top 30% by revenue ($43,900); strongest signal: content download ×6 10 days before data cutoff; no rep contact in 196 days",Merged from duplicate CRM records,0.6641678321678322,0.4307249295982577,1.0,43900.0,Mid-Market,Animal Welfare,North America,Rep A,ASPCA | American Society for the Prevention of Cruelty to Animals,"38,700 | 43,900"
12,Trócaire,0.3985725742412488,High,"top 10% by revenue ($88,300); strongest signal: content download ×12 39 days before data cutoff",,0.9077482517482518,0.472492833186214,0.3611111111111111,88300.0,Strategic,Religious,Asia Pacific,Rep A,Trócaire,"88,300"
13,American Civil Liberties Union,0.3960679749206253,High,"top 10% by revenue ($94,800); strongest signal: email open ×18 17 days before data cutoff; no rep contact in 344 days",,0.9266293706293707,0.182040980961251,1.0,94800.0,Strategic,,North America,Rep C,American Civil Liberties Union,"94,800"
14,Vera Institute of Justice,0.3954960125864254,High,"top 30% by revenue ($43,400); strongest signal: page visit ×16 14 days before data cutoff; no rep contact in 442 days",,0.659972027972028,0.4275168293370414,1.0,43400.0,Mid-Market,,North America,Rep A,Vera Institute of Justice,"43,400"
15,Mercy Corps,0.39278631051744506,High,"top 10% by revenue ($91,500); strongest signal: demo request ×2 61 days before data cutoff; no rep contact in 180 days",,0.9140419580419581,0.18532085044520874,1.0,91500.0,Strategic,Human Services,Africa,Rep D,Mercy Corps,"91,500"
16,Volunteers of America,0.3844987526339358,High,"top 30% by revenue ($80,450); strongest signal: content download ×11 45 days before data cutoff; last contact unknown",Last contact date missing — neglect set to neutral; Last contact date was in the future — treated as missing,0.8909650349650349,0.40221876207204776,0.5,80450.0,Strategic,Human Services,Europe,Rep D,Volunteers of America,"80,450"
17,OneGoal,0.3817834590098119,High,"$32,750 ARR, Mid-Market; strongest signal: content download ×7 this week; last contact unknown",Last contact date missing — neglect set to neutral; Last contact date was in the future — treated as missing,0.6180139860139859,0.6682265812050316,0.5,32750.0,Mid-Market,Education,North America,Rep A,OneGoal,"32,750"
18,Oceana,0.3812738088647779,High,"top 30% by revenue ($56,900); strongest signal: page visit ×12 this week; no rep contact in 560 days",,0.7103216783216783,0.3382316782882241,1.0,56900.0,Mid-Market,,North America,Rep C,Oceana,"56,900"
19,PEN America,0.38102256080851377,High,"$40,000 ARR, Mid-Market; strongest signal: page visit ×23 this week; no rep contact in 472 days",,0.6494825174825174,0.4095080106134982,1.0,40000.0,Mid-Market,Arts & Culture,Middle East,Rep C,PEN America,"40,000"
20,Results for America,0.3783259136855035,High,"top 30% by revenue ($53,300); strongest signal: page visit ×28 10 days before data cutoff; last contacted 100 days ago",,0.6956363636363636,0.5388417065953263,0.5555555555555556,53300.0,Mid-Market,Community Development,North America,Rep B,Results for America,"53,300"
21,International Rescue Committee,0.37778100545996535,High,"top 30% by revenue ($70,450); strongest signal: email open ×36 22 days before data cutoff; last contacted 175 days ago",Merged from duplicate CRM records,0.8668391608391608,0.20592536082622898,0.9722222222222222,70450.0,Strategic,Human Services,Asia Pacific,Rep D,IRC | International Rescue Committee,"53,400 | 70,450"
22,OpenStreetMap Foundation,0.37777821954820484,High,"top 30% by revenue ($48,100); strongest signal: content download ×11 43 days before data cutoff; no rep contact in 653 days",,0.683048951048951,0.36153764041164227,1.0,48100.0,Mid-Market,,Africa,Rep A,OpenStreetMap Foundation,"48,100"
23,Enterprise Community Partners,0.3699309660570883,High,"top 30% by revenue ($40,500); strongest signal: demo request ×1 10 days before data cutoff; no rep contact in 817 days",,0.6536783216783217,0.3798886214668338,1.0,40500.0,Mid-Market,Community Development,Asia Pacific,Rep A,Enterprise Community Partners,"40,500"
24,Solomon R. Guggenheim Foundation,0.36683013965928596,High,"top 30% by revenue ($75,650); strongest signal: page visit ×21 63 days before data cutoff; no rep contact in 187 days",,0.8825734265734266,0.1651956630695574,1.0,75650.0,Strategic,Arts & Culture,North America,Rep B,Solomon R. Guggenheim Foundation,"75,650"
25,RSPCA,0.3613647617779928,High,"$34,450 ARR, Strategic; strongest signal: page visit ×23 21 days before data cutoff",,0.7483076923076923,0.5732037960791491,0.2722222222222222,34450.0,Strategic,Animal Welfare,North America,Rep B,RSPCA,"34,450"
26,Amnesty International,0.35329477043644447,High,"top 30% by revenue ($44,200); strongest signal: page visit ×10 30 days before data cutoff; no rep contact in 953 days",,0.6694125874125874,0.3253833437163148,1.0,44200.0,Mid-Market,,Asia Pacific,Rep D,Amnesty International,"44,200"
27,JA Worldwide,0.3437466187987904,High,"top 30% by revenue ($75,200); strongest signal: page visit ×12 26 days before data cutoff",,0.8804755244755245,0.4624907508607234,0.2222222222222222,75200.0,Strategic,Education,North America,Rep B,JA Worldwide,"75,200"
28,CareerVillage.org,0.3302131301209531,Medium,"$26,850 ARR, Mid-Market; strongest signal: page visit ×18 16 days before data cutoff; last contacted 98 days ago",ARR missing — imputed median,0.5330489510489511,0.6516380039174788,0.5444444444444444,26850.0,Mid-Market,Human Services,North America,Rep B,CareerVillage.org,
29,African Wildlife Foundation,0.32905563965476187,High,"top 10% by revenue ($97,650); strongest signal: email open ×16 18 days before data cutoff; last contacted 156 days ago",,0.9392167832167833,0.1290730099114503,0.8666666666666667,97650.0,Strategic,,North America,Rep D,African Wildlife Foundation,"97,650"
30,Candid,0.3290230503004116,High,"top 30% by revenue ($62,600); strongest signal: demo request ×1 70 days before data cutoff; no rep contact in 900 days",,0.8288111888111889,0.13854558836313174,1.0,62600.0,Enterprise,Community Development,North America,Rep C,Candid,"62,600"
31,HIAS,0.321747477784393,Medium,"$26,850 ARR, Mid-Market; strongest signal: demo request ×2 39 days before data cutoff; no rep contact in 1183 days",ARR missing — imputed median,0.5330489510489511,0.4337119566096344,1.0,26850.0,Mid-Market,Religious,Europe,Rep A,HIAS,
32,Rainforest Alliance,0.3200697164555161,High,"top 30% by revenue ($67,000); strongest signal: page visit ×6 51 days before data cutoff; no rep contact in 702 days",,0.8615944055944056,0.10212195698260314,1.0,67000.0,Strategic,Environment,North America,Rep A,Rainforest Alliance,"67,000"
33,Ashoka,0.319333668966163,High,"top 10% by revenue ($96,300); strongest signal: page visit ×17 76 days before data cutoff; no rep contact in 282 days",,0.916923076923077,0.06895226468841308,1.0,96300.0,Enterprise,Community Development,North America,Rep D,Ashoka,"96,300"
34,National Community Reinvestment Coalition,0.3190468138793026,High,"top 10% by revenue ($84,250); strongest signal: email open ×8 30 days before data cutoff; no rep contact in 824 days",,0.9035524475524477,0.07586100799530623,1.0,84250.0,Strategic,Community Development,Europe,Rep B,National Community Reinvestment Coalition,"84,250"
35,The Mission Continues,0.3189801907061808,High,"top 30% by revenue ($59,950); strongest signal: demo request ×2 36 days before data cutoff; last contacted 94 days ago",,0.8225174825174826,0.330204216212628,0.5222222222222223,59950.0,Enterprise,,North America,Rep A,The Mission Continues,"59,950"
36,Cystic Fibrosis Foundation,0.3183872549085629,High,"$27,100 ARR, Mid-Market; strongest signal: content download ×8 23 days before data cutoff; no rep contact in 214 days",,0.5792027972027971,0.3567129964697853,1.0,27100.0,Mid-Market,Healthcare,North America,Rep B,Cystic Fibrosis Foundation,"27,100"
37,Electronic Frontier Foundation,0.316829928961027,High,"top 10% by revenue ($95,350); strongest signal: page visit ×6 17 days before data cutoff; last contact unknown",Last contact date missing — neglect set to neutral,0.9127272727272728,0.28160632022926824,0.5,95350.0,Enterprise,,Africa,Rep D,Electronic Frontier Foundation,"95,350"
38,Team Rubicon,0.3143489066451164,Medium,"$26,850 ARR, Mid-Market; strongest signal: page visit ×14 this week; last contacted 163 days ago",ARR missing — imputed median,0.5330489510489511,0.4543599731047581,0.9055555555555556,26850.0,Mid-Market,,Europe,Rep D,Team Rubicon,
39,Parkinson's Foundation,0.31060470974343285,High,"$27,500 ARR, Mid-Market; strongest signal: page visit ×11 this week; last contacted 143 days ago",,0.5865454545454545,0.4160227483197005,0.7944444444444444,27500.0,Mid-Market,Healthcare,North America,Rep A,Parkinson's Foundation,"27,500"
40,Caritas Internationalis,0.3103011190067714,High,"top 10% by revenue ($103,550); strongest signal: email open ×4 38 days before data cutoff; no rep contact in 215 days",,0.9337062937062937,0.04618954910947868,1.0,103550.0,Enterprise,Religious,Asia Pacific,Rep A,Caritas Internationalis,"103,550"
41,NeighborWorks America,0.30923807917520796,High,"top 30% by revenue ($55,200); strongest signal: page visit ×14 55 days before data cutoff; no rep contact in 194 days",,0.828027972027972,0.10494760636413009,1.0,55200.0,Strategic,Community Development,North America,Rep B,NeighborWorks America,"55,200"
42,California Community Foundation,0.30440715713523936,High,"top 30% by revenue ($52,950); strongest signal: email open ×45 12 days before data cutoff; no rep contact in 242 days",,0.6914405594405594,0.2003580743317639,1.0,52950.0,Mid-Market,Community Development,North America,Rep C,California Community Foundation,"52,950"
43,Feeding America,0.3000571134958686,High,"top 30% by revenue ($62,050); strongest signal: content download ×3 10 days before data cutoff",,0.8267132867132867,0.4637407323300692,0.12777777777777777,62050.0,Enterprise,Human Services,Middle East,Rep C,Feeding America,"62,050"
44,ChildFund International,0.29894345382990173,High,"top 30% by revenue ($81,150); strongest signal: email open ×23 83 days before data cutoff; no rep contact in 449 days",,0.877062937062937,0.05835152627373115,1.0,81150.0,Enterprise,International Aid,Middle East,Rep A,ChildFund International,"81,150"
45,Humane World for Animals,0.2968846140750943,High,"top 10% by revenue ($94,450); strongest signal: page visit ×14 10 days before data cutoff",,0.9245314685314685,0.2968366565174914,0.37777777777777777,94450.0,Strategic,,North America,Rep B,Humane World for Animals,"94,450"
46,Lutheran World Relief,0.2913801592166199,High,"$27,300 ARR, Mid-Market; strongest signal: content download ×10 23 days before data cutoff",,0.5844475524475524,0.6360331759854159,0.17777777777777778,27300.0,Mid-Market,Religious,North America,Rep D,Lutheran World Relief,"27,300"
47,World Central Kitchen,0.28786457970280194,Medium,"$26,850 ARR, Enterprise; strongest signal: page visit ×22 58 days before data cutoff; no rep contact in 1134 days",ARR missing — imputed median,0.6410489510489511,0.2129320216537685,1.0,26850.0,Enterprise,Human Services,Europe,Rep A,World Central Kitchen,
48,Big Brothers Big Sisters of America,0.28586229258464135,High,"$18,700 ARR, Mid-Market; strongest signal: email open ×50 this week; no rep contact in 217 days",,0.43130069930069925,0.5182730916310052,1.0,18700.0,Mid-Market,Human Services,North America,Rep B,Big Brothers Big Sisters of America,"18,700"
49,Khan Academy,0.28512171937441577,High,"top 30% by revenue ($81,500); strongest signal: email open ×21 19 days before data cutoff; last contacted 131 days ago",,0.8951608391608392,0.14311597196166445,0.7277777777777777,81500.0,Strategic,Education,North America,Rep D,Khan Academy,"81,500"
50,Make-A-Wish International,0.28356752091402976,High,"top 30% by revenue ($70,750); strongest signal: email open ×2 31 days before data cutoff; no rep contact in 813 days",,0.869986013986014,0.03706417008904175,1.0,70750.0,Strategic,,North America,Rep B,Make-A-Wish International,"70,750"
51,National Audubon Society,0.27996298950424015,High,"top 10% by revenue ($82,500); strongest signal: webinar attendance ×6 61 days before data cutoff; last contacted 103 days ago",,0.8854545454545455,0.2064475727798927,0.5722222222222222,82500.0,Enterprise,,Asia Pacific,Rep A,National Audubon Society,"82,500"
52,Accion Opportunity Fund,0.27825259056209717,High,"$35,850 ARR, Mid-Market; strongest signal: content download ×4 45 days before data cutoff; last contacted 140 days ago",,0.6285034965034965,0.2991272703298074,0.7777777777777778,35850.0,Mid-Market,Human Services,Middle East,Rep C,Accion Opportunity Fund,"35,850"
53,Lincoln Center for the Performing Arts,0.276819647171739,High,"top 30% by revenue ($66,150); strongest signal: email open ×16 79 days before data cutoff; no rep contact in 269 days",,0.8594965034965034,0.03153124457269647,1.0,66150.0,Strategic,Arts & Culture,South America,Rep D,Lincoln Center for the Performing Arts,"66,150"
54,Boys & Girls Clubs of America,0.2701248603395501,High,"top 10% by revenue ($98,600); strongest signal: page visit ×32 40 days before data cutoff",,0.9316083916083917,0.36660291635628495,0.1111111111111111,98600.0,Enterprise,Human Services,Europe,Rep A,Boys & Girls Clubs of America,"98,600"
55,Pencils of Promise,0.2683679275695396,High,"$39,950 ARR, Mid-Market; strongest signal: email open ×15 25 days before data cutoff; no rep contact in 1157 days",,0.6473846153846153,0.16363101887629264,1.0,39950.0,Mid-Market,Education,Europe,Rep B,Pencils of Promise,"39,950"
56,Zakat Foundation of America,0.2681841114983373,Medium,"$26,850 ARR, SMB; strongest signal: page visit ×15 this week; no rep contact in 804 days",ARR missing — imputed median; ARR value was not a valid number,0.3890489510489511,0.5561893791633645,1.0,26850.0,SMB,Religious,North America,Rep C,Zakat Foundation of America,
57,Thorn,0.2609160839160839,Medium,"top 30% by revenue ($76,250); no engagement on record; no rep contact in 676 days",No engagement signals found,0.8697202797202797,0.0,1.0,76250.0,Enterprise,,North America,Rep A,Thorn,"76,250"
58,Convoy of Hope,0.2587878343414448,High,"top 10% by revenue ($97,700); strongest signal: content download ×6 46 days before data cutoff",,0.9253146853146854,0.294774503845223,0.24444444444444444,97700.0,Enterprise,Religious,North America,Rep C,Convoy of Hope,"97,700"
59,Semper Fi & America's Fund,0.25791328671328667,Medium,"top 10% by revenue ($96,950); no engagement on record; last contacted 168 days ago",No engagement signals found,0.9211188811188811,0.0,0.9333333333333333,96950.0,Enterprise,,North America,Rep D,Semper Fi & America's Fund,"96,950"
60,Transparency International,0.25721958041958043,Medium,"top 30% by revenue ($65,850); no engagement on record; no rep contact in 183 days",No engagement signals found,0.8573986013986015,0.0,1.0,65850.0,Strategic,,North America,Rep C,Transparency International,"65,850"
61,Center for Constitutional Rights,0.2571398601398601,Medium,"top 30% by revenue ($73,350); no engagement on record; no rep contact in 811 days",No engagement signals found,0.8571328671328671,0.0,1.0,73350.0,Enterprise,,North America,Rep D,Center for Constitutional Rights,"73,350"
62,World Wildlife Fund,0.2550758831071722,High,"top 30% by revenue ($65,000); strongest signal: webinar attendance ×3 this week",Merged from duplicate CRM records,0.7313006993006993,0.4363774345610432,0.14444444444444443,65000.0,Mid-Market,Environment,North America,Rep A,WWF | World Wildlife Fund,"57,550 | 65,000"
63,St. Jude Children's Research Hospital,0.2532141931161506,Medium,"$26,850 ARR, Strategic; strongest signal: email open ×20 23 days before data cutoff; last contacted 141 days ago",ARR missing — imputed median,0.6570489510489511,0.21483002459472064,0.7833333333333333,26850.0,Strategic,Healthcare,North America,Rep D,St. Jude Children's Research Hospital,
64,Natural Resources Defense Council,0.252334944771408,High,"top 30% by revenue ($45,550); strongest signal: email open ×25 32 days before data cutoff; no rep contact in 383 days",Merged from duplicate CRM records,0.6725594405594406,0.1074086956994222,1.0,45550.0,Mid-Market,Environment,Europe,Rep B,NRDC | Natural Resources Defense Council,"34,250 | 45,550"
65,American Cancer Society,0.25079454935673573,High,"$34,800 ARR, Mid-Market; strongest signal: content download ×9 40 days before data cutoff; last contact unknown",Last contact date missing — neglect set to neutral,0.6264055944055944,0.3576726635644307,0.5,34800.0,Mid-Market,Healthcare,Europe,Rep C,American Cancer Society,"34,800"
66,CAMFED,0.24966713286713288,Medium,"top 30% by revenue ($56,000); no engagement on record; no rep contact in 1179 days",No engagement signals found,0.8322237762237763,0.0,1.0,56000.0,Strategic,Education,North America,Rep B,CAMFED,"56,000"
67,Ocean Conservancy,0.24517972027972026,Medium,"top 30% by revenue ($74,450); no engagement on record; last contacted 171 days ago",No engagement signals found,0.8602797202797203,0.0,0.95,74450.0,Enterprise,Environment,North America,Rep C,Ocean Conservancy,"74,450"
68,Breakthrough Collaborative,0.24206531449070467,High,"top 10% by revenue ($109,250); strongest signal: page visit ×23 35 days before data cutoff",,0.9518041958041958,0.30855609031942527,0.12777777777777777,109250.0,Strategic,Education,South America,Rep C,Breakthrough Collaborative,"109,250"
69,Cleveland Foundation,0.24009999033514895,High,"top 30% by revenue ($43,600); strongest signal: page visit ×15 31 days before data cutoff",,0.66206993006993,0.3895007124739157,0.3,43600.0,Mid-Market,Community Development,Asia Pacific,Rep A,Cleveland Foundation,"43,600"
70,RAND Corporation,0.2393755085637271,High,"top 30% by revenue ($47,400); strongest signal: content download ×6 16 days before data cutoff",,0.6788531468531469,0.3894535904801094,0.26666666666666666,47400.0,Mid-Market,Research,South America,Rep C,RAND Corporation,"47,400"
71,Allen Institute,0.23738105292264233,High,"top 30% by revenue ($63,650); strongest signal: webinar attendance ×4 25 days before data cutoff",,0.833006993006993,0.31186027576758757,0.2222222222222222,63650.0,Enterprise,Research,Middle East,Rep A,Allen Institute,"63,650"
72,Goodwill Industries International,0.23012203479660612,Medium,"$26,850 ARR, Mid-Market; strongest signal: page visit ×11 44 days before data cutoff; last contacted 165 days ago",ARR missing — imputed median,0.5330489510489511,0.22387001390441721,0.9166666666666666,26850.0,Mid-Market,Human Services,North America,Rep B,Goodwill Industries International,
73,Film Independent,0.22783814708258077,High,"top 30% by revenue ($61,950); strongest signal: webinar attendance ×2 34 days before data cutoff; last contact unknown",Last contact date missing — neglect set to neutral,0.8406153846153847,0.1729104674850384,0.5,61950.0,Strategic,Arts & Culture,Asia Pacific,Rep B,Film Independent,"61,950"
74,Catholic Relief Services,0.22486344760942312,High,"$38,950 ARR, Mid-Market; strongest signal: page visit ×17 19 days before data cutoff; last contacted 101 days ago",Merged from duplicate CRM records,0.6452867132867133,0.2573389511818712,0.5611111111111111,38950.0,Mid-Market,Religious,South America,Rep D,CRS | Catholic Relief Services,"28,750 | 38,950"
75,Carnegie Hall,0.21737715617715614,Medium,"top 10% by revenue ($81,600); no engagement on record; last contacted 148 days ago",No engagement signals found,0.8812587412587412,0.0,0.8222222222222222,81600.0,Enterprise,Arts & Culture,North America,Rep C,Carnegie Hall,"81,600"
76,New Teacher Center,0.21675979285347086,High,"$29,050 ARR, Mid-Market; strongest signal: webinar attendance ×3 33 days before data cutoff; last contacted 110 days ago",,0.595986013986014,0.25766589859197336,0.6111111111111112,29050.0,Mid-Market,Education,North America,Rep D,New Teacher Center,"29,050"
77,Reading Is Fundamental,0.21539251006745017,High,"$29,350 ARR, Mid-Market; strongest signal: email open ×27 41 days before data cutoff",,0.5991328671328671,0.3135815487525324,0.4666666666666667,29350.0,Mid-Market,Education,Asia Pacific,Rep D,Reading Is Fundamental,"29,350"
78,Creative Capital,0.21505573396822963,Medium,"$26,850 ARR, SMB; strongest signal: demo request ×2 34 days before data cutoff; no rep contact in 683 days",ARR missing — imputed median,0.3890489510489511,0.36110420548217764,1.0,26850.0,SMB,Arts & Culture,South America,Rep D,Creative Capital,
79,FOUR PAWS International,0.21446720113481343,High,"$26,750 ARR, Mid-Market; strongest signal: page visit ×18 26 days before data cutoff; last contacted 97 days ago",,0.490041958041958,0.3942628906767549,0.5388888888888889,26750.0,Mid-Market,Animal Welfare,North America,Rep B,FOUR PAWS International,"26,750"
80,Make-A-Wish America,0.21331606284147261,High,"$19,650 ARR, Mid-Market; strongest signal: page visit ×13 this week; last contact unknown",Last contact date missing — neglect set to neutral,0.43969230769230766,0.4787835691640369,0.5,19650.0,Mid-Market,,Asia Pacific,Rep C,Make-A-Wish America,"19,650"
81,The Carter Center,0.21057902097902095,Medium,"top 30% by revenue ($54,700); no engagement on record; no rep contact in 1318 days",No engagement signals found,0.7019300699300699,0.0,1.0,54700.0,Mid-Market,Healthcare,Europe,Rep B,The Carter Center,"54,700"
82,Search for Common Ground,0.21023858235847814,High,"$26,950 ARR, Mid-Market; strongest signal: page visit ×31 71 days before data cutoff; no rep contact in 306 days",,0.5760559440559441,0.09280298834026511,1.0,26950.0,Mid-Market,International Aid,North America,Rep C,Search for Common Ground,"26,950"
83,National Alliance to End Homelessness,0.20925622092419066,High,"$29,550 ARR, Mid-Market; strongest signal: email open ×18 47 days before data cutoff; no rep contact in 970 days",,0.6012307692307692,0.06863775259805503,1.0,29550.0,Mid-Market,Human Services,Asia Pacific,Rep C,National Alliance to End Homelessness,"29,550"
84,Aga Khan Foundation USA,0.2064349202527471,High,"$22,750 ARR, TBD; strongest signal: content download ×4 this week; last contacted 137 days ago",Account tier missing or TBD — default weight applied,0.39286713286713293,0.4244628726409034,0.7611111111111111,22750.0,TBD,Religious,North America,Rep C,Aga Khan Foundation USA,"22,750"
85,GlobalGiving,0.2060078870504856,High,"top 30% by revenue ($53,050); strongest signal: page visit ×19 65 days before data cutoff; last contacted 107 days ago",,0.6935384615384615,0.16957935072933508,0.5944444444444444,53050.0,Mid-Market,Community Development,Asia Pacific,Rep A,GlobalGiving,"53,050"
86,American Red Cross,0.20573134160700474,Medium,"$26,850 ARR, Strategic; strongest signal: email open ×38 47 days before data cutoff; last contacted 152 days ago",ARR missing — imputed median,0.6570489510489511,0.0854012053481091,0.8444444444444444,26850.0,Strategic,Human Services,North America,Rep D,American Red Cross,
87,Reach Out and Read,0.2054585216900908,High,"top 10% by revenue ($91,300); strongest signal: page visit ×16 23 days before data cutoff",,0.8959440559440559,0.22998195815325276,0.22777777777777777,91300.0,Enterprise,Education,Middle East,Rep C,Reach Out and Read,"91,300"
88,Free Software Foundation,0.20418287577746252,Medium,"$26,850 ARR, Strategic; strongest signal: email open ×25 44 days before data cutoff; last contacted 119 days ago",ARR missing — imputed median,0.6570489510489511,0.1606059227503444,0.6611111111111111,26850.0,Strategic,,North America,Rep D,Free Software Foundation,
89,American Alliance of Museums,0.19873857778732462,High,"$29,800 ARR, Mid-Market; strongest signal: webinar attendance ×5 57 days before data cutoff; last contact unknown",Last contact date missing — neglect set to neutral,0.6054265734265734,0.25466009424564096,0.5,29800.0,Mid-Market,Arts & Culture,Europe,Rep B,American Alliance of Museums,"29,800"
90,International Crisis Group,0.1979888288405368,High,"$21,850 ARR, Mid-Market; strongest signal: content download ×11 56 days before data cutoff; last contacted 130 days ago",,0.4564755244755244,0.3100957952356901,0.7222222222222222,21850.0,Mid-Market,,North America,Rep A,International Crisis Group,"21,850"
91,SOS Children's Villages International,0.19736223776223774,Medium,"top 30% by revenue ($42,550); no engagement on record; no rep contact in 316 days",No engagement signals found,0.6578741258741259,0.0,1.0,42550.0,Mid-Market,International Aid,North America,Rep D,SOS Children's Villages International,"42,550"
92,Sightsavers,0.19711468531468532,Low,"$26,850 ARR, Strategic; no engagement on record; no rep contact in 1039 days",ARR missing — imputed median; No engagement signals found,0.6570489510489511,0.0,1.0,26850.0,Strategic,Healthcare,Middle East,Rep B,Sightsavers,
93,City Year,0.1965305361305361,Medium,"top 10% by revenue ($91,600); no engagement on record; last contacted 131 days ago",No engagement signals found,0.90013986013986,0.0,0.7277777777777777,91600.0,Enterprise,Human Services,North America,Rep B,City Year,"91,600"
94,Jewish Federations of North America,0.19324687885529393,High,"$27,150 ARR, Mid-Market; strongest signal: email open ×5 39 days before data cutoff; last contacted 178 days ago",,0.5823496503496504,0.05024754762088367,0.9888888888888889,27150.0,Mid-Market,Religious,North America,Rep A,Jewish Federations of North America,"27,150"
95,Children's Miracle Network Hospitals,0.19231468531468532,Low,"$26,850 ARR, Enterprise; no engagement on record; no rep contact in 1199 days",ARR missing — imputed median; No engagement signals found,0.6410489510489511,0.0,1.0,26850.0,Enterprise,,North America,Rep D,Children's Miracle Network Hospitals,
96,Family Promise,0.18936123371078636,High,"top 30% by revenue ($44,000); strongest signal: content download ×4 10 days before data cutoff",Account tier missing or TBD — default weight applied,0.5942657342657343,0.35282962524474865,0.2388888888888889,44000.0,TBD,Human Services,Africa,Rep A,Family Promise,"44,000"
97,Educate Girls,0.18603356643356642,Medium,"$33,100 ARR, Mid-Market; no engagement on record; no rep contact in 403 days",No engagement signals found,0.6201118881118881,0.0,1.0,33100.0,Mid-Market,Education,North America,Rep C,Educate Girls,"33,100"
98,Plan International,0.1859617478576743,Medium,"$26,850 ARR, Mid-Market; strongest signal: email open ×11 10 days before data cutoff",ARR missing — imputed median; ARR value was not a valid number,0.5330489510489511,0.30552042504521176,0.45,26850.0,Mid-Market,International Aid,North America,Rep C,Plan International,
99,350.org,0.18569947563843237,Medium,"$26,850 ARR, SMB; strongest signal: webinar attendance ×4 34 days before data cutoff; no rep contact in 1180 days",ARR missing — imputed median,0.3890489510489511,0.2533092563205394,1.0,26850.0,SMB,Environment,North America,Rep C,350.org,
100,The Leukemia & Lymphoma Society,0.18418190239195348,High,"$24,200 ARR, Mid-Market; strongest signal: email open ×37 21 days before data cutoff; last contact unknown",Last contact date missing — neglect set to neutral,0.4753566433566433,0.33922922464334787,0.5,24200.0,Mid-Market,Healthcare,Asia Pacific,Rep C,The Leukemia & Lymphoma Society,"24,200"
101,Freedom House,0.18260361470341085,High,"$31,450 ARR, Mid-Market; strongest signal: webinar attendance ×3 73 days before data cutoff; last contacted 133 days ago",,0.6117202797202796,0.10977384113935608,0.7388888888888889,31450.0,Mid-Market,,Europe,Rep A,Freedom House,"31,450"
